Color,Count,Percentage,Year
#000000,84,30.88235294117647,1996
#ffffff,56,20.588235294117645,1996
#010101,14,5.147058823529411,1996
#020202,6,2.2058823529411766,1996
#fefefe,5,1.8382352941176472,1996
#080808,4,1.4705882352941175,1996
#fdfdfd,3,1.1029411764705883,1996
#050505,3,1.1029411764705883,1996
#17120f,2,0.7352941176470588,1996
#010103,2,0.7352941176470588,1996
#00000c,2,0.7352941176470588,1996
#040406,2,0.7352941176470588,1996
#0d0d0d,2,0.7352941176470588,1996
#26181f,1,0.3676470588235294,1996
#050507,1,0.3676470588235294,1996
#24211a,1,0.3676470588235294,1996
#878c73,1,0.3676470588235294,1996
#009ad6,1,0.3676470588235294,1996
#0a0911,1,0.3676470588235294,1996
#0d0503,1,0.3676470588235294,1996
#f3f4f6,1,0.3676470588235294,1996
#110f12,1,0.3676470588235294,1996
#221a18,1,0.3676470588235294,1996
#030406,1,0.3676470588235294,1996
#d97a9b,1,0.3676470588235294,1996
#e9bf99,1,0.3676470588235294,1996
#d9e3e5,1,0.3676470588235294,1996
#0e1327,1,0.3676470588235294,1996
#f8f7f3,1,0.3676470588235294,1996
#04041e,1,0.3676470588235294,1996
#018ccd,1,0.3676470588235294,1996
#0b0100,1,0.3676470588235294,1996
#06050a,1,0.3676470588235294,1996
#f8b7bd,1,0.3676470588235294,1996
#ed352b,1,0.3676470588235294,1996
#f4f9fc,1,0.3676470588235294,1996
#8ad4ef,1,0.3676470588235294,1996
#8a0822,1,0.3676470588235294,1996
#b90601,1,0.3676470588235294,1996
#ece9e4,1,0.3676470588235294,1996
#070209,1,0.3676470588235294,1996
#adb4d1,1,0.3676470588235294,1996
#0d0a11,1,0.3676470588235294,1996
#100f1f,1,0.3676470588235294,1996
#030106,1,0.3676470588235294,1996
#010602,1,0.3676470588235294,1996
#6a685b,1,0.3676470588235294,1996
#130400,1,0.3676470588235294,1996
#070b0e,1,0.3676470588235294,1996
#f6f7fb,1,0.3676470588235294,1996
#0f0909,1,0.3676470588235294,1996
#010300,1,0.3676470588235294,1996
#2a2b2d,1,0.3676470588235294,1996
#ddd6d0,1,0.3676470588235294,1996
#2e2721,1,0.3676470588235294,1996
#070709,1,0.3676470588235294,1996
#000002,1,0.3676470588235294,1996
#fefefc,1,0.3676470588235294,1996
#ece8e9,1,0.3676470588235294,1996
#020107,1,0.3676470588235294,1996
#198bca,1,0.3676470588235294,1996
#d7eff1,1,0.3676470588235294,1996
#dfdfdf,1,0.3676470588235294,1996
#03072a,1,0.3676470588235294,1996
#1e2126,1,0.3676470588235294,1996
#03080c,1,0.3676470588235294,1996
#e8e7e3,1,0.3676470588235294,1996
#ff6823,1,0.3676470588235294,1996
#768185,1,0.3676470588235294,1996
#0f4931,1,0.3676470588235294,1996
#9fcbe4,1,0.3676470588235294,1996
#17181c,1,0.3676470588235294,1996
#f7f7f7,1,0.3676470588235294,1996
#0f1821,1,0.3676470588235294,1996
#fdfcfa,1,0.3676470588235294,1996
#060405,1,0.3676470588235294,1996
#020204,1,0.3676470588235294,1996
#770706,1,0.3676470588235294,1996
#f2f2f4,1,0.3676470588235294,1996
#154569,1,0.3676470588235294,1996
#0d1114,1,0.3676470588235294,1996
#f9fbd6,1,0.3676470588235294,1996
#fbfdfc,1,0.3676470588235294,1996
#060606,1,0.3676470588235294,1996
#69d1ec,1,0.3676470588235294,1996
#fdeec3,1,0.3676470588235294,1996
#090b06,1,0.3676470588235294,1996
#293134,1,0.3676470588235294,1996
#d6d9d2,1,0.3676470588235294,1996
#ee6401,1,0.3676470588235294,1996
#281a19,1,0.3676470588235294,1996
#eeeeee,1,0.3676470588235294,1996
#101010,1,0.3676470588235294,1996
#300403,1,0.3676470588235294,1996
#eef2f5,1,0.3676470588235294,1996
#110c09,1,0.3676470588235294,1996
#0b090a,1,0.3676470588235294,1996
#e91f3b,1,0.3676470588235294,1996
#000105,1,0.3676470588235294,1996
#040404,1,0.3676470588235294,1996
