Color,Count,Percentage,Year
#000000,77,30.078125,1994
#ffffff,47,18.359375,1994
#010101,13,5.078125,1994
#fefefe,5,1.953125,1994
#020202,4,1.5625,1994
#fdfdfd,4,1.5625,1994
#040404,3,1.171875,1994
#0d0d0d,2,0.78125,1994
#030305,2,0.78125,1994
#0c0c0c,2,0.78125,1994
#fffefc,2,0.78125,1994
#f6f6f6,2,0.78125,1994
#e42930,2,0.78125,1994
#010006,2,0.78125,1994
#020204,2,0.78125,1994
#010005,2,0.78125,1994
#ad643d,2,0.78125,1994
#012f9f,1,0.390625,1994
#080806,1,0.390625,1994
#525f75,1,0.390625,1994
#000217,1,0.390625,1994
#191516,1,0.390625,1994
#13160f,1,0.390625,1994
#153425,1,0.390625,1994
#1a2038,1,0.390625,1994
#131716,1,0.390625,1994
#144fb3,1,0.390625,1994
#120415,1,0.390625,1994
#70aee1,1,0.390625,1994
#17080f,1,0.390625,1994
#ff0202,1,0.390625,1994
#020609,1,0.390625,1994
#060d13,1,0.390625,1994
#f8f8ec,1,0.390625,1994
#118c42,1,0.390625,1994
#c9cbc8,1,0.390625,1994
#07080c,1,0.390625,1994
#0e0000,1,0.390625,1994
#1c2522,1,0.390625,1994
#ffd533,1,0.390625,1994
#443e38,1,0.390625,1994
#09040a,1,0.390625,1994
#11070f,1,0.390625,1994
#100a0e,1,0.390625,1994
#bec7d0,1,0.390625,1994
#91c7e6,1,0.390625,1994
#020003,1,0.390625,1994
#2b330e,1,0.390625,1994
#1a42b4,1,0.390625,1994
#cae9fb,1,0.390625,1994
#1d1719,1,0.390625,1994
#101018,1,0.390625,1994
#000014,1,0.390625,1994
#3f302d,1,0.390625,1994
#051417,1,0.390625,1994
#0b0b09,1,0.390625,1994
#f3efee,1,0.390625,1994
#0d0405,1,0.390625,1994
#060b0f,1,0.390625,1994
#111015,1,0.390625,1994
#0b0708,1,0.390625,1994
#180c1a,1,0.390625,1994
#060807,1,0.390625,1994
#660f10,1,0.390625,1994
#aa653c,1,0.390625,1994
#101417,1,0.390625,1994
#05050a,1,0.390625,1994
#1f1d4d,1,0.390625,1994
#f8f4f1,1,0.390625,1994
#0d0b18,1,0.390625,1994
#fce0b9,1,0.390625,1994
#231a1c,1,0.390625,1994
#080607,1,0.390625,1994
#0a0f0b,1,0.390625,1994
#faf2f0,1,0.390625,1994
#01305e,1,0.390625,1994
#f8fafd,1,0.390625,1994
#180300,1,0.390625,1994
#000004,1,0.390625,1994
#23211f,1,0.390625,1994
#020612,1,0.390625,1994
#ffeb00,1,0.390625,1994
#22140b,1,0.390625,1994
#0c0c0b,1,0.390625,1994
#5e91be,1,0.390625,1994
#f1f1f3,1,0.390625,1994
#0e0e10,1,0.390625,1994
#141613,1,0.390625,1994
#2dbbe3,1,0.390625,1994
#020207,1,0.390625,1994
#308be8,1,0.390625,1994
#040300,1,0.390625,1994
#fefbea,1,0.390625,1994
#040001,1,0.390625,1994
#0190d2,1,0.390625,1994
#1e1113,1,0.390625,1994
#595a52,1,0.390625,1994
#d1cbd9,1,0.390625,1994
#856d87,1,0.390625,1994
#49529d,1,0.390625,1994
